nm	T	R	A
2368.000000	  88.027752	  11.433214	   0.539034
2367.000000	  88.062159	  11.442352	   0.495489
2366.000000	  88.047904	  11.432317	   0.519779
2365.000000	  88.046642	  11.442612	   0.510746
2364.000000	  88.078915	  11.430643	   0.490442
2363.000000	  88.081813	  11.423188	   0.494999
2362.000000	  88.081420	  11.446411	   0.472169
2361.000000	  88.063645	  11.459408	   0.476947
2360.000000	  88.063624	  11.428655	   0.507721
2359.000000	  88.119171	  11.437252	   0.443577
2358.000000	  88.110580	  11.446475	   0.442945
2357.000000	  88.085460	  11.461421	   0.453119
2356.000000	  88.100682	  11.469233	   0.430085
2355.000000	  88.094461	  11.449431	   0.456108
2354.000000	  88.088864	  11.428555	   0.482581
2353.000000	  88.105950	  11.455639	   0.438411
2352.000000	  88.089285	  11.465131	   0.445584
2351.000000	  88.067927	  11.442905	   0.489168
2350.000000	  88.089673	  11.478554	   0.431773
2349.000000	  88.116770	  11.471148	   0.412082
2348.000000	  88.110902	  11.467836	   0.421262
2347.000000	  88.138168	  11.453580	   0.408252
2346.000000	  88.133509	  11.475251	   0.391240
2345.000000	  88.099351	  11.450344	   0.450305
2344.000000	  88.114492	  11.468350	   0.417158
2343.000000	  88.095721	  11.468017	   0.436262
2342.000000	  88.131601	  11.470996	   0.397403
2341.000000	  88.150873	  11.469683	   0.379444
2340.000000	  88.132466	  11.477279	   0.390255
2339.000000	  88.126444	  11.446885	   0.426671
2338.000000	  88.160428	  11.468152	   0.371420
2337.000000	  88.147403	  11.455843	   0.396754
2336.000000	  88.143331	  11.443622	   0.413047
2335.000000	  88.160386	  11.470716	   0.368898
2334.000000	  88.152927	  11.459667	   0.387406
2333.000000	  88.181887	  11.473953	   0.344160
2332.000000	  88.148636	  11.469630	   0.381734
2331.000000	  88.151302	  11.455506	   0.393192
2330.000000	  88.151135	  11.467803	   0.381062
2329.000000	  88.178410	  11.476454	   0.345136
2328.000000	  88.177478	  11.445027	   0.377495
2327.000000	  88.173037	  11.469081	   0.357882
2326.000000	  88.152441	  11.463869	   0.383690
2325.000000	  88.176827	  11.474490	   0.348683
2324.000000	  88.181853	  11.476508	   0.341639
2323.000000	  88.185696	  11.464017	   0.350287
2322.000000	  88.189005	  11.492287	   0.318708
2321.000000	  88.197064	  11.483452	   0.319484
2320.000000	  88.189731	  11.472901	   0.337368
2319.000000	  88.209611	  11.476612	   0.313777
2318.000000	  88.208622	  11.487051	   0.304327
2317.000000	  88.200328	  11.488865	   0.310807
2316.000000	  88.194045	  11.487078	   0.318877
2315.000000	  88.177507	  11.500325	   0.322168
2314.000000	  88.208465	  11.473240	   0.318295
2313.000000	  88.203553	  11.498329	   0.298118
2312.000000	  88.202650	  11.508075	   0.289275
2311.000000	  88.228778	  11.505581	   0.265641
2310.000000	  88.226107	  11.496554	   0.277339
2309.000000	  88.219187	  11.500733	   0.280080
2308.000000	  88.220681	  11.502894	   0.276425
2307.000000	  88.251235	  11.505401	   0.243364
2306.000000	  88.270718	  11.505144	   0.224138
2305.000000	  88.279877	  11.506400	   0.213723
2304.000000	  88.277108	  11.522775	   0.200117
2303.000000	  88.287714	  11.531091	   0.181195
2302.000000	  88.295164	  11.514721	   0.190115
2301.000000	  88.289854	  11.510419	   0.199727
2300.000000	  88.277099	  11.514965	   0.207936
2299.000000	  88.247038	  11.494912	   0.258050
2298.000000	  88.274654	  11.513845	   0.211501
2297.000000	  88.276342	  11.521671	   0.201987
2296.000000	  88.253563	  11.508373	   0.238064
2295.000000	  88.279619	  11.486341	   0.234040
2294.000000	  88.285468	  11.503651	   0.210881
2293.000000	  88.252403	  11.492493	   0.255104
2292.000000	  88.237353	  11.491562	   0.271085
2291.000000	  88.264142	  11.493115	   0.242743
2290.000000	  88.287737	  11.492092	   0.220171
2289.000000	  88.281138	  11.510476	   0.208386
2288.000000	  88.307667	  11.477889	   0.214444
2287.000000	  88.284535	  11.491412	   0.224053
2286.000000	  88.280023	  11.486684	   0.233293
2285.000000	  88.296358	  11.478435	   0.225207
2284.000000	  88.256244	  11.469343	   0.274413
2283.000000	  88.294997	  11.469494	   0.235509
2282.000000	  88.290730	  11.471552	   0.237718
2281.000000	  88.291895	  11.480171	   0.227934
2280.000000	  88.275509	  11.468549	   0.255942
2279.000000	  88.278449	  11.461125	   0.260426
2278.000000	  88.278019	  11.462582	   0.259399
2277.000000	  88.284085	  11.474670	   0.241245
2276.000000	  88.296284	  11.475288	   0.228428
2275.000000	  88.290961	  11.455352	   0.253687
2274.000000	  88.291057	  11.458489	   0.250454
2273.000000	  88.285641	  11.471337	   0.243022
2272.000000	  88.315188	  11.461917	   0.222895
2271.000000	  88.307586	  11.454253	   0.238161
2270.000000	  88.316816	  11.450652	   0.232532
2269.000000	  88.323944	  11.455227	   0.220829
2268.000000	  88.332968	  11.448116	   0.218916
2267.000000	  88.335871	  11.440210	   0.223919
2266.000000	  88.332356	  11.441077	   0.226567
2265.000000	  88.319498	  11.449207	   0.231295
2264.000000	  88.319259	  11.443237	   0.237504
2263.000000	  88.327515	  11.438512	   0.233973
2262.000000	  88.321392	  11.440602	   0.238006
2261.000000	  88.325045	  11.450850	   0.224105
2260.000000	  88.352050	  11.446352	   0.201598
2259.000000	  88.329043	  11.429072	   0.241885
2258.000000	  88.327631	  11.443366	   0.229003
2257.000000	  88.320385	  11.440157	   0.239458
2256.000000	  88.309754	  11.426158	   0.264088
2255.000000	  88.322532	  11.427288	   0.250180
2254.000000	  88.320160	  11.438270	   0.241570
2253.000000	  88.319135	  11.421047	   0.259818
2252.000000	  88.336005	  11.426611	   0.237384
2251.000000	  88.338045	  11.421624	   0.240331
2250.000000	  88.319986	  11.418840	   0.261174
2249.000000	  88.348718	  11.430909	   0.220373
2248.000000	  88.343162	  11.434127	   0.222711
2247.000000	  88.340973	  11.423077	   0.235950
2246.000000	  88.323516	  11.429454	   0.247030
2245.000000	  88.350707	  11.425063	   0.224230
2244.000000	  88.358662	  11.422568	   0.218770
2243.000000	  88.368437	  11.426676	   0.204887
2242.000000	  88.346136	  11.423106	   0.230758
2241.000000	  88.356985	  11.420835	   0.222180
2240.000000	  88.367070	  11.425894	   0.207036
2239.000000	  88.351779	  11.423153	   0.225068
2238.000000	  88.353508	  11.416449	   0.230043
2237.000000	  88.364805	  11.425783	   0.209412
2236.000000	  88.342723	  11.414930	   0.242347
2235.000000	  88.354999	  11.411766	   0.233235
2234.000000	  88.353645	  11.419478	   0.226877
2233.000000	  88.357876	  11.411484	   0.230640
2232.000000	  88.364994	  11.419833	   0.215173
2231.000000	  88.368724	  11.417325	   0.213951
2230.000000	  88.353490	  11.421891	   0.224619
2229.000000	  88.371130	  11.426836	   0.202034
2228.000000	  88.379182	  11.422933	   0.197885
2227.000000	  88.386980	  11.419477	   0.193543
2226.000000	  88.389049	  11.418863	   0.192088
2225.000000	  88.380811	  11.412973	   0.206216
2224.000000	  88.376974	  11.421640	   0.201386
2223.000000	  88.389434	  11.412306	   0.198260
2222.000000	  88.395011	  11.412075	   0.192914
2221.000000	  88.398815	  11.419241	   0.181944
2220.000000	  88.401639	  11.424993	   0.173368
2219.000000	  88.383970	  11.421044	   0.194986
2218.000000	  88.399015	  11.418959	   0.182026
2217.000000	  88.392765	  11.417395	   0.189840
2216.000000	  88.405497	  11.418278	   0.176225
2215.000000	  88.420111	  11.423547	   0.156342
2214.000000	  88.416993	  11.425975	   0.157032
2213.000000	  88.411239	  11.419812	   0.168949
2212.000000	  88.421979	  11.418689	   0.159332
2211.000000	  88.428402	  11.421265	   0.150333
2210.000000	  88.424288	  11.432727	   0.142985
2209.000000	  88.434371	  11.431527	   0.134102
2208.000000	  88.447859	  11.430996	   0.121145
2207.000000	  88.441756	  11.433308	   0.124936
2206.000000	  88.440805	  11.433779	   0.125416
2205.000000	  88.456113	  11.437086	   0.106801
2204.000000	  88.461597	  11.440030	   0.098373
2203.000000	  88.450980	  11.438784	   0.110236
2202.000000	  88.452869	  11.443220	   0.103911
2201.000000	  88.466832	  11.450781	   0.082387
2200.000000	  88.476828	  11.453172	   0.070000
2199.000000	  88.479287	  11.441303	   0.079410
2198.000000	  88.495052	  11.443070	   0.061878
2197.000000	  88.494932	  11.443354	   0.061714
2196.000000	  88.495798	  11.434461	   0.069741
2195.000000	  88.503624	  11.436063	   0.060313
2194.000000	  88.492565	  11.439723	   0.067712
2193.000000	  88.498516	  11.438633	   0.062851
2192.000000	  88.501499	  11.432866	   0.065635
2191.000000	  88.513028	  11.429935	   0.057037
2190.000000	  88.531758	  11.433181	   0.035061
2189.000000	  88.517293	  11.427954	   0.054753
2188.000000	  88.516765	  11.423239	   0.059996
2187.000000	  88.531739	  11.430871	   0.037390
2186.000000	  88.540544	  11.430365	   0.029091
2185.000000	  88.548953	  11.425848	   0.025199
2184.000000	  88.557685	  11.425712	   0.016603
2183.000000	  88.564647	  11.428575	   0.006778
2182.000000	  88.566659	  11.435950	  -0.002609
2181.000000	  88.557032	  11.427676	   0.015292
2180.000000	  88.568022	  11.426253	   0.005725
2179.000000	  88.574383	  11.430734	  -0.005117
2178.000000	  88.571151	  11.428191	   0.000658
2177.000000	  88.574526	  11.427399	  -0.001925
2176.000000	  88.586993	  11.427195	  -0.014188
2175.000000	  88.593386	  11.428933	  -0.022319
2174.000000	  88.590914	  11.427118	  -0.018032
2173.000000	  88.603877	  11.430797	  -0.034674
2172.000000	  88.613112	  11.429507	  -0.042619
2171.000000	  88.615149	  11.429255	  -0.044404
2170.000000	  88.629741	  11.428754	  -0.058495
2169.000000	  88.632660	  11.429831	  -0.062491
2168.000000	  88.618346	  11.434442	  -0.052788
2167.000000	  88.624089	  11.435973	  -0.060062
2166.000000	  88.637656	  11.430030	  -0.067686
2165.000000	  88.632210	  11.429324	  -0.061534
2164.000000	  88.633685	  11.434124	  -0.067809
2163.000000	  88.650488	  11.434207	  -0.084695
2162.000000	  88.659100	  11.435540	  -0.094640
2161.000000	  88.661946	  11.443333	  -0.105279
2160.000000	  88.655379	  11.440566	  -0.095945
2159.000000	  88.655630	  11.444515	  -0.100145
2158.000000	  88.662006	  11.449390	  -0.111396
2157.000000	  88.672899	  11.438462	  -0.111361
2156.000000	  88.675445	  11.444371	  -0.119816
2155.000000	  88.690516	  11.448389	  -0.138905
2154.000000	  88.688968	  11.450565	  -0.139533
2153.000000	  88.682811	  11.445629	  -0.128440
2152.000000	  88.679953	  11.447557	  -0.127510
2151.000000	  88.680898	  11.455252	  -0.136150
2150.000000	  88.691471	  11.455938	  -0.147409
2149.000000	  88.693911	  11.458107	  -0.152018
2148.000000	  88.693869	  11.457329	  -0.151198
2147.000000	  88.723616	  11.459118	  -0.182734
2146.000000	  88.709945	  11.464889	  -0.174834
2145.000000	  88.702713	  11.466809	  -0.169522
2144.000000	  88.706083	  11.468187	  -0.174270
2143.000000	  88.715730	  11.466877	  -0.182607
2142.000000	  88.725315	  11.464406	  -0.189721
2141.000000	  88.715541	  11.474989	  -0.190530
2140.000000	  88.730603	  11.475443	  -0.206046
2139.000000	  88.737902	  11.467806	  -0.205708
2138.000000	  88.727318	  11.468709	  -0.196027
2137.000000	  88.729426	  11.461749	  -0.191175
2136.000000	  88.717453	  11.459612	  -0.177065
2135.000000	  88.736543	  11.469996	  -0.206539
2134.000000	  88.723779	  11.465625	  -0.189404
2133.000000	  88.719874	  11.466165	  -0.186039
2132.000000	  88.720324	  11.464609	  -0.184933
2131.000000	  88.729446	  11.463498	  -0.192944
2130.000000	  88.722427	  11.461402	  -0.183829
2129.000000	  88.720573	  11.465518	  -0.186091
2128.000000	  88.747569	  11.468013	  -0.215582
2127.000000	  88.727994	  11.459362	  -0.187356
2126.000000	  88.719172	  11.457763	  -0.176935
2125.000000	  88.720040	  11.457394	  -0.177434
2124.000000	  88.728491	  11.458088	  -0.186579
2123.000000	  88.732840	  11.463347	  -0.196187
2122.000000	  88.724143	  11.451463	  -0.175606
2121.000000	  88.725250	  11.455833	  -0.181083
2120.000000	  88.732911	  11.443085	  -0.175996
2119.000000	  88.725781	  11.444922	  -0.170703
2118.000000	  88.754724	  11.448324	  -0.203048
2117.000000	  88.748893	  11.439445	  -0.188338
2116.000000	  88.738783	  11.436474	  -0.175257
2115.000000	  88.733964	  11.436273	  -0.170237
2114.000000	  88.722037	  11.428439	  -0.150476
2113.000000	  88.729805	  11.438015	  -0.167820
2112.000000	  88.720746	  11.423593	  -0.144339
2111.000000	  88.729162	  11.417710	  -0.146872
2110.000000	  88.731845	  11.412933	  -0.144778
2109.000000	  88.735434	  11.413369	  -0.148803
2108.000000	  88.719995	  11.418605	  -0.138600
2107.000000	  88.720034	  11.398595	  -0.118629
2106.000000	  88.720139	  11.398999	  -0.119138
2105.000000	  88.727854	  11.402967	  -0.130821
2104.000000	  88.720453	  11.401032	  -0.121485
2103.000000	  88.708654	  11.386074	  -0.094728
2102.000000	  88.723008	  11.386546	  -0.109554
2101.000000	  88.735279	  11.390241	  -0.125520
2100.000000	  88.743418	  11.385158	  -0.128576
2099.000000	  88.735668	  11.393346	  -0.129014
2098.000000	  88.704413	  11.395076	  -0.099489
2097.000000	  88.729420	  11.383915	  -0.113335
2096.000000	  88.701857	  11.399171	  -0.101028
2095.000000	  88.685362	  11.402628	  -0.087990
2094.000000	  88.689963	  11.404583	  -0.094546
2093.000000	  88.716944	  11.414842	  -0.131786
2092.000000	  88.714369	  11.412550	  -0.126919
2091.000000	  88.713392	  11.420877	  -0.134269
2090.000000	  88.708030	  11.417391	  -0.125421
2089.000000	  88.698252	  11.419320	  -0.117572
2088.000000	  88.723404	  11.433118	  -0.156522
2087.000000	  88.736598	  11.427891	  -0.164489
2086.000000	  88.713803	  11.437008	  -0.150811
2085.000000	  88.733337	  11.436735	  -0.170072
2084.000000	  88.712796	  11.443241	  -0.156037
2083.000000	  88.719813	  11.447250	  -0.167063
2082.000000	  88.711697	  11.452074	  -0.163771
2081.000000	  88.722746	  11.452475	  -0.175221
2080.000000	  88.700214	  11.461440	  -0.161654
